Species;Treatment;Treatment number;Fruit_set;seed_set
SOLY;CAAN 50%;2;0;0
SOLY;CAAN 50%;3;1;0
SOLY;CAAN 50%;4;1;0
SOLY;CAAN 50%;5;1;0
SOLY;CAAN 50%;6;0;0
SOLY;CAAN 50%;7;0;0
SOLY;CAAN 50%;8;0;0
SOLY;CAAN 50%;9;0;0
SOLY;CAAN 50%;10;0;0
SOLY;CAAN 100%;1;1;0
SOLY;CAAN 100%;2;1;0
SOLY;CAAN 100%;3;1;0
SOLY;CAAN 100%;4;1;0
SOLY;CAAN 100%;5;0;0
SOLY;CAAN 100%;6;0;0
SOLY;CAAN 100%;7;1;0
SOLY;CAAN 100%;8;1;0
SOLY;CAAN 100%;9;1;0
SOLY;CAAN 100%;10;0;0
SOLY;SOME 50%;1;1;36
SOLY;SOME 50%;2;1;38
SOLY;SOME 50%;3;0;0
SOLY;SOME 50%;4;1;5
SOLY;SOME 50%;5;1;64
SOLY;SOME 50%;6;1;11
SOLY;SOME 50%;7;1;5
SOLY;SOME 50%;8;1;9
SOLY;SOME 50%;9;1;2
SOLY;SOME 50%;10;1;96
SOLY;SOME 100%;1;0;0
SOLY;SOME 100%;2;1;0
SOLY;SOME 100%;3;1;0
SOLY;SOME 100%;4;0;0
SOLY;SOME 100%;5;1;0
SOLY;SOME 100%;6;1;0
SOLY;SOME 100%;7;1;0
SOLY;SOME 100%;8;1;0
SOLY;SOME 100%;9;1;0
SOLY;SOME 100%;10;0;0
SOLY;BROL 50%;1;1;64
SOLY;BROL 50%;2;1;67
SOLY;BROL 50%;3;1;75
SOLY;BROL 50%;4;1;28
SOLY;BROL 50%;5;1;73
SOLY;BROL 50%;6;1;73
SOLY;BROL 50%;7;1;72
SOLY;BROL 50%;8;1;14
SOLY;BROL 50%;9;1;44
SOLY;BROL 50%;10;1;41
SOLY;BROL 100%;1;0;0
SOLY;BROL 100%;2;0;0
SOLY;BROL 100%;3;0;0
SOLY;BROL 100%;4;0;0
SOLY;BROL 100%;5;1;0
SOLY;BROL 100%;6;0;0
SOLY;BROL 100%;7;0;0
SOLY;BROL 100%;8;1;0
SOLY;BROL 100%;9;1;0
SOLY;BROL 100%;10;1;0
SOLY;PEIN 50%;1;1;61
SOLY;PEIN 50%;2;1;49
SOLY;PEIN 50%;3;1;69
SOLY;PEIN 50%;4;1;5
SOLY;PEIN 50%;5;0;0
SOLY;PEIN 50%;6;1;31
SOLY;PEIN 50%;7;1;20
SOLY;PEIN 50%;8;1;17
SOLY;PEIN 50%;9;1;8
SOLY;PEIN 50%;10;0;0
SOLY;PEIN 100%;1;1;0
SOLY;PEIN 100%;2;0;0
SOLY;PEIN 100%;3;0;0
SOLY;PEIN 100%;4;1;0
SOLY;PEIN 100%;5;0;0
SOLY;PEIN 100%;6;0;0
SOLY;PEIN 100%;7;0;0
SOLY;PEIN 100%;8;1;0
SOLY;PEIN 100%;9;0;0
SOLY;PEIN 100%;10;1;0
SOLY;RARA 50%;1;1;13
SOLY;RARA 50%;2;1;68
SOLY;RARA 50%;3;1;60
SOLY;RARA 50%;4;1;11
SOLY;RARA 50%;5;0;0
SOLY;RARA 50%;6;1;0
SOLY;RARA 50%;7;1;46
SOLY;RARA 50%;8;0;0
SOLY;RARA 50%;9;1;25
SOLY;RARA 50%;10;1;0
SOLY;RARA 100%;1;1;0
SOLY;RARA 100%;2;0;0
SOLY;RARA 100%;3;0;0
SOLY;RARA 100%;4;0;0
SOLY;RARA 100%;5;0;0
SOLY;RARA 100%;6;0;0
SOLY;RARA 100%;7;0;0
SOLY;RARA 100%;8;1;7
SOLY;RARA 100%;9;0;0
SOLY;RARA 100%;10;1;40
SOLY;BRRA 50%;1;1;39
SOLY;BRRA 50%;2;1;64
SOLY;BRRA 50%;3;1;13
SOLY;BRRA 50%;4;1;5
SOLY;BRRA 50%;5;1;4
SOLY;BRRA 50%;6;1;13
SOLY;BRRA 50%;7;0;0
SOLY;BRRA 50%;8;0;0
SOLY;BRRA 50%;9;0;0
SOLY;BRRA 50%;10;0;0
SOLY;BRRA 100%;1;0;0
SOLY;BRRA 100%;2;0;0
SOLY;BRRA 100%;3;0;0
SOLY;BRRA 100%;4;0;0
SOLY;BRRA 100%;5;0;0
SOLY;BRRA 100%;6;0;0
SOLY;BRRA 100%;7;0;0
SOLY;BRRA 100%;8;0;0
SOLY;BRRA 100%;9;0;0
SOLY;BRRA 100%;10;0;0
SOLY;COSA 50%;1;1;31
SOLY;COSA 50%;2;1;15
SOLY;COSA 50%;3;1;10
SOLY;COSA 50%;4;0;0
SOLY;COSA 50%;5;1;8
SOLY;COSA 50%;6;1;98
SOLY;COSA 50%;7;0;0
SOLY;COSA 50%;8;1;110
SOLY;COSA 50%;9;1;43
SOLY;COSA 50%;10;1;21
SOLY;COSA 100%;1;1;0
SOLY;COSA 100%;2;0;0
SOLY;COSA 100%;3;0;0
SOLY;COSA 100%;4;1;0
SOLY;COSA 100%;5;0;0
SOLY;COSA 100%;6;0;0
SOLY;COSA 100%;7;0;0
SOLY;COSA 100%;8;0;0
SOLY;COSA 100%;9;0;0
SOLY;COSA 100%;10;0;0
SOLY;ERSA 50%;1;0;0
SOLY;ERSA 50%;2;0;0
SOLY;ERSA 50%;3;1;7
SOLY;ERSA 50%;4;1;34
SOLY;ERSA 50%;5;1;16
SOLY;ERSA 50%;6;1;22
SOLY;ERSA 50%;7;1;12
SOLY;ERSA 50%;8;0;0
SOLY;ERSA 50%;9;0;0
SOLY;ERSA 50%;10;0;0
SOLY;ERSA 100%;1;0;0
SOLY;ERSA 100%;2;0;0
SOLY;ERSA 100%;3;0;0
SOLY;ERSA 100%;4;0;0
SOLY;ERSA 100%;5;0;0
SOLY;ERSA 100%;6;0;0
SOLY;ERSA 100%;7;0;0
SOLY;ERSA 100%;8;0;0
SOLY;ERSA 100%;9;0;0
SOLY;ERSA 100%;10;0;0
SOLY;IPAQ 50%;1;0;0
SOLY;IPAQ 50%;2;1;0
SOLY;IPAQ 50%;3;1;13
SOLY;IPAQ 50%;4;0;0
SOLY;IPAQ 50%;5;0;0
SOLY;IPAQ 50%;6;0;0
SOLY;IPAQ 50%;7;0;0
SOLY;IPAQ 50%;8;0;0
SOLY;IPAQ 50%;9;0;0
SOLY;IPAQ 50%;10;0;0
SOLY;IPAQ 100%;1;0;0
SOLY;IPAQ 100%;2;0;0
SOLY;IPAQ 100%;3;0;0
SOLY;IPAQ 100%;4;0;0
SOLY;IPAQ 100%;5;0;0
SOLY;IPAQ 100%;6;0;0
SOLY;IPAQ 100%;7;0;0
SOLY;IPAQ 100%;8;0;0
SOLY;IPAQ 100%;9;0;0
SOLY;IPAQ 100%;10;0;0
